,lat,long,name,addr,uri,reviews,num_reviews,loc_type,description,price,zone
2443,40.809552,-73.9904446,The Caves formerly Archetypus,"266 Old River Rd, Edgewater, NJ 07020, USA",http://www.archetypus.com/,Rating: 4.4,12780,Restaurant,"cafe, restaurant, food",price level moderate,
2444,40.8039394,-73.9937437,Lolitas Mexican Cantina NB,"8809 River Rd, North Bergen, NJ 07047, USA",http://www.lolitasmexicancantina.com/,Rating: 4.3,12259,"Restaurant, Bar","mexican restaurant, bar, restaurant, food",price level moderate,
2445,40.8049489,-73.9934845,Porto By Antonio,"8921 Old River Rd, North Bergen, NJ 07047, USA",http://portobyantonio.com/,Rating: 4.3,7571,Restaurant,"italian restaurant, pizza restaurant, meal delivery, food delivery, meal takeaway, food store, store, restaurant, food",price level moderate,
2446,40.8095016,-73.99050009999999,Pa De,"264 Old River Rd, Edgewater, NJ 07020, USA",http://www.padethai.com/,Rating: 4.1,9411,Restaurant,"thai restaurant, restaurant, food",price level moderate,
2447,40.8098438,-73.9901546,Urban Tomato,"276 Old River Rd, Edgewater, NJ 07020, USA",https://www.urbantomatopizza.com/,Rating: 4.8,2269,Restaurant,"pizza restaurant, restaurant, food",price level moderate,
2448,40.8086104,-73.9912903,Caviar By DNHG,"232 Old River Rd, Edgewater, NJ 07020, USA",https://www.caviarbydnhg.com/,Rating: 4.9,16247,Restaurant,"restaurant, food",price level very cheap,
2449,40.8075643,-73.9911753,Life After Restaurant  Lounge,"Inside The Metropolitan, 190 River Rd 2nd Floor, Edgewater, NJ 07020, USA",https://lifeafterrestaurant.com/,Rating: 4.6,12469,Restaurant,"restaurant, food",price level very cheap,
2450,40.8075643,-73.9911753,Metropolitan Social Club,"190 River Rd, Edgewater, NJ 07020, USA",No URL,No rating,18765,"Restaurant, Bar",bar,price level very cheap,
2451,40.8045845,-73.96675549999999,Five Guys,"2847 Broadway, New York, NY 10025, USA",https://restaurants.fiveguys.com/2847-broadway,Rating: 4.2,15782,Restaurant,"fast food restaurant, hamburger restaurant, meal takeaway, american restaurant, restaurant, food",price level moderate,Morningside Heights
2452,40.8072844,-73.9647533,sweetgreen,"2937 Broadway, New York, NY 10025, USA",https://www.sweetgreen.com/,Rating: 3.8,10436,Restaurant,"meal takeaway, vegan restaurant, vegetarian restaurant, restaurant, food",price level moderate,Morningside Heights
2453,40.8044374,-73.966874,Playa Bowls,"2841 Broadway, New York, NY 10025, USA",https://www.playabowls.com/location/columbia-nyc,Rating: 4.7,16782,Restaurant,"restaurant, food",price level moderate,Morningside Heights
2454,40.804514999999995,-73.96679999999999,Chipotle Mexican Grill,"2843 Broadway, New York, NY 10025, USA",https://locations.chipotle.com/ny/new-york/2843-broadway?utm_source=google&utm_medium=yext&utm_campaign=yext_listings,Rating: 3.9,7691,Restaurant,"mexican restaurant, fast food restaurant, catering service, food delivery, restaurant, food",price level cheap,Morningside Heights
2455,40.805167,-73.9663121,The Heights Bar  Grill,"2867 Broadway, New York, NY 10025, USA",http://www.theheightsnyc.com/,Rating: 4.2,12181,"Restaurant, Bar","bar and grill, bar, restaurant, food",price level moderate,Morningside Heights
2456,40.807103,-73.964922,Starbucks,"2929 Broadway, New York, NY 10025, USA",https://www.starbucks.com/store-locator/store/11157/,Rating: 3.4,4383,Restaurant,"coffee shop, internet cafe, cafe, breakfast restaurant, food store, store, restaurant, food",price level moderate,Morningside Heights
